西暦,和暦,件数
1927,昭和2年,748133
1928,昭和3年,786146
1929,昭和4年,912245
1930,昭和5年,1049986
1931,昭和6年,1181705
1932,昭和7年,1298397
1933,昭和8年,1552039
1934,昭和9年,1566435
1935,昭和10年,1528188
1936,昭和11年,1306902
1937,昭和12年,1221697
1938,昭和13年,1243636
1939,昭和14年,1027845
1940,昭和15年,1026955
1941,昭和16年,922526
1942,昭和17年,0
1943,昭和18年,0
1944,昭和19年,0
1945,昭和20年,0
1946,昭和21年,1387080
1947,昭和22年,1386020
1948,昭和23年,1603263
1949,昭和24年,1603048
1950,昭和25年,1459662
1951,昭和26年,1399184
1952,昭和27年,1395197
1953,昭和28年,1344482
1954,昭和29年,1360405
1955,昭和30年,1478202
1956,昭和31年,1410441
1957,昭和32年,1426029
1958,昭和33年,1440259
1959,昭和34年,1483258
1960,昭和35年,1495888
1961,昭和36年,1530464
1962,昭和37年,1522480
1963,昭和38年,1557803
1964,昭和39年,1609741
1965,昭和40年,1602430
1966,昭和41年,1590681
1967,昭和42年,1603471
1968,昭和43年,1742479
1969,昭和44年,1848740
1970,昭和45年,1932401
1971,昭和46年,1875383
1972,昭和47年,1818088
1973,昭和48年,1728741
1974,昭和49年,1671965
1975,昭和50年,1673785
1976,昭和51年,1691247
1977,昭和52年,1705034
1978,昭和53年,1776843
1979,昭和54年,1738452
1980,昭和55年,1812798
1981,昭和56年,1925836
1982,昭和57年,2005319
1983,昭和58年,2039209
1984,昭和59年,2080323
1985,昭和60年,2121444
1986,昭和61年,2124272
1987,昭和62年,2132617
1988,昭和63年,2207380
1989,平成元年,2261076
1990,平成2年,2217559
1991,平成3年,2284401
1992,平成4年,2355504
1993,平成5年,2437252
1994,平成6年,2426694
1995,平成7年,2435983
1996,平成8年,2465503
1997,平成9年,2518074
1998,平成10年,2690267
1999,平成11年,2904051
2000,平成12年,3256109
2001,平成13年,3581521
2002,平成14年,3693928
2003,平成15年,3646253
2004,平成16年,3427606
2005,平成17年,3125216
2006,平成18年,2877027
2007,平成19年,2690883
2008,平成20年,2541828
2009,平成21年,2410490
2010,平成22年,2289472
2011,平成23年,2161911
2012,平成24年,2036393
2013,平成25年,1917929
2014,平成26年,1762912
2015,平成27年,1616442
2016,平成28年,1478570
2017,平成29年,1368355
2018,平成30年,817338
2019,令和元年,748559
2020,令和2年,614231
2021,令和3年,568104
2022,令和4年,601331
2023,令和5年,703351